"SYMBOL","OPEN","HIGH ","LOW","PREV. CLOSE","LTP ","CHNG","%CHNG","VOLUME (shares)",VALUE ,"52W H","52W L","365 D % CHNG 01-Sep-2020","30 D % CHNG 
 02-Aug-2021"
SRTRANSFIN,"1,332.00","1,349.00","1,326.60","1,329.90","1,340.00",10.1,0.76,763714,"1,02,41,78,659.70","1,534.95",555.55,88.29,-3.34
CADILAHC,554,561,553,552.35,556.5,4.15,0.75,1669885,"93,04,76,620.85",673.7,358,46.09,-6.67
TATACHEM,843.65,853.25,841.05,840.7,846.8,6.1,0.73,1487639,"1,25,83,93,830.10",891.9,273.45,171.11,8.53
BPCL,478,481.55,477,477,480.3,3.3,0.69,4181314,"2,00,69,88,906.86",493.9,325,17.13,4.19
STAR,610,623.9,610,608.9,613,4.1,0.67,545941,"33,63,76,087.74",999,562.55,3.25,-20.15
HDFCBANK,"1,574.10","1,592.00","1,571.25","1,579.10","1,589.70",10.6,0.67,4809262,"7,61,35,42,672.20","1,641.00","1,025.00",40.08,11
L&TFH,83.95,84.75,83.4,83.9,84.45,0.55,0.66,4045550,"34,04,73,488.00",113.4,51.96,26.36,-6.73
BERGEPAINT,834.8,838.8,828,828.65,834.15,5.5,0.66,556117,"46,37,62,649.81",872.95,537.85,49.77,-1.47
FEDERALBNK,82.8,83.35,82.4,82.4,82.9,0.5,0.61,6746469,"55,91,47,350.72",92.5,45.35,50.78,-4.79
RBLBANK,171,173.15,170.1,170.95,172,1.05,0.61,6505494,"1,11,76,43,869.20",274.3,155.6,-10.89,-12.13
TRENT,999.4,"1,013.65",985.55,994.4,999.5,5.1,0.51,600794,"60,05,17,634.76","1,036.70",585,55.73,3.95
SAIL,119.9,121.5,119.25,120.05,120.65,0.6,0.5,23650346,"2,84,72,65,154.94",151.3,32.65,199.38,-13.94
INFY,"1,677.35","1,694.30","1,662.65","1,677.75","1,686.05",8.3,0.49,6830050,"11,44,25,87,666.50","1,757.00",912.1,83.53,2.83
MANAPPURAM,165,165.45,163.25,164.15,164.9,0.75,0.46,1974132,"32,51,59,281.72",218,139.1,7.15,-22.86
UPL,752,757.9,746,748.65,751.9,3.25,0.43,3029716,"2,28,11,94,365.04",864.7,399,48.23,-5.36
HDFCAMC,"3,100.00","3,127.00","3,097.50","3,097.95","3,111.00",13.05,0.42,200314,"62,28,76,383.00","3,358.90","2,070.05",28.14,7.88
AXISBANK,795.5,806.1,792.4,798.9,802,3.1,0.39,6799617,"5,44,04,41,557.87",819,400.15,64.48,10.78
RECLTD,152.05,153.95,151.7,152.6,153.2,0.6,0.39,1710511,"26,15,20,026.79",167.8,91.8,36.98,-2.59
PEL,"2,603.00","2,642.00","2,592.80","2,594.55","2,604.50",9.95,0.38,669031,"1,74,77,09,681.30","2,858.00","1,178.55",91.35,4.21
TATACONSUM,866.4,875,862.05,867.45,870.65,3.2,0.37,1314628,"1,14,53,43,352.44",875,458.95,58.15,14.21
LUPIN,963.9,973.9,963.3,962.25,965,2.75,0.29,1376857,"1,33,42,70,812.99","1,267.65",855.35,1.3,-14.41
BOSCHLTD,"14,045.00","14,213.95","13,960.00","14,011.50","14,052.00",40.5,0.29,33332,"47,04,46,848.04","16,830.05","11,265.05",13.06,-8.42
LICHSGFIN,409,413.65,406.1,408.25,409.35,1.1,0.27,2570732,"1,05,46,94,217.64",542.45,260,34.6,0.1
ADANIENT,"1,571.00","1,594.30","1,565.50","1,565.20","1,569.35",4.15,0.27,2171898,"3,42,61,25,657.04","1,717.20",257.5,456.81,8.83
BANKBARODA,78.7,78.95,77.8,78.35,78.5,0.15,0.19,23249453,"1,82,27,57,115.20",99.85,39.5,64.77,-2.97
MOTHERSUMI,215.55,218.25,214.3,217.2,217.6,0.4,0.18,3604058,"77,94,85,664.24",272.85,102.3,91.45,-7.38
BEL,190.75,192.45,189.75,189.85,190.2,0.35,0.18,8554863,"1,63,27,81,152.18",192.45,86.35,75.87,3.29
GMRINFRA,30.6,31,30.3,30.3,30.35,0.05,0.17,12981990,"39,63,40,154.70",33.9,20.8,28.39,4.48
TATAPOWER,133.85,134.8,132.6,133.4,133.6,0.2,0.15,25276744,"3,38,02,58,975.12",137,50.1,124.2,-0.04
ITC,209,211.5,209,209.5,209.75,0.25,0.12,14321164,"3,01,07,38,307.72",239.2,163.35,10.15,1.06
GAIL,145.9,147.25,144.15,144.8,144.95,0.15,0.1,8728875,"1,26,94,40,291.25",170.3,81.2,50.21,1.37
SUNPHARMA,790.3,795.65,788.3,788.5,789.3,0.8,0.1,2679549,"2,11,95,23,259.00",804.35,452.25,51.21,1.74
POWERGRID,175.4,176.1,174.2,175.65,175.8,0.15,0.09,10158768,"1,78,15,43,144.16",188.63,115.95,-2.63,2.72
LT,"1,687.90","1,710.00","1,682.00","1,686.40","1,688.00",1.6,0.09,2400278,"4,06,59,02,912.54","1,718.00",843,76.55,4.49
GUJGASLTD,705,713.55,701.4,704.35,704.95,0.6,0.09,1388373,"97,98,02,593.56",786,281,124.32,-6.66
HINDPETRO,266.7,270.85,266.3,266.65,266.9,0.25,0.09,2369909,"63,59,41,381.06",312,162.9,33.56,-2.25
TVSMOTOR,533,533.8,525.25,529.85,530.3,0.45,0.08,1142560,"60,50,08,371.20",666,421.15,20.31,-7.4
SUNTV,489.95,492.4,485.7,486.65,487,0.35,0.07,958414,"46,88,75,297.08",586.55,407.8,4.36,-15.06
BHARATFORG,784.35,785.95,775.5,781.05,781.5,0.45,0.06,1481791,"1,15,64,63,785.95",844.8,427.5,57.26,-0.54
TECHM,"1,436.00","1,452.55","1,421.20","1,436.30","1,436.95",0.65,0.05,3860958,"5,53,37,95,272.66","1,478.00",722.7,97.33,18.63
SYNGENE,631.4,637.65,628.25,629.75,630,0.25,0.04,253699,"16,05,76,245.06",700,443,33.29,-0.64
ASTRAL,"2,115.00","2,130.95","2,085.05","2,110.30","2,109.95",-0.35,-0.02,466028,"98,22,93,818.40","2,630.00","1,065.55",89.69,-3.18
