,symbol,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange
27,GAIL,146,149.35,145.1,147.4,145.1,2.3,1.59
28,IDFCFIRSTB,45.3,46.35,45.1,45.6,44.9,0.7,1.56
29,NAM-INDIA,416.35,421.5,410.9,419,412.8,6.2,1.5
30,COFORGE,5185,5312.95,5130.8,5234.05,5157.95,76.1,1.48
31,LTI,5400,5499,5377.7,5469,5389,80.0,1.48
32,IRCTC,2844,2897.3,2826.5,2868,2829.95,38.05,1.34
33,BHARATFORG,791,811.45,785.3,791.6,781.4,10.2,1.31
34,MRF,81949,82600.1,81509.9,82300,81265.15,1034.85,1.27
35,PETRONET,227.15,230,226.75,230,227.15,2.85,1.25
36,SAIL,121.25,125,119.7,122.3,120.85,1.45,1.2
37,AUROPHARMA,748,759.9,741.9,755.65,746.85,8.8,1.18
38,BAJAJ-AUTO,3726,3809.5,3725,3764.25,3720.95,43.3,1.16
39,PIIND,3370.4,3430,3365,3410,3371.65,38.35,1.14
40,MARUTI,6770,6958,6751.6,6869,6792.9,76.1,1.12
41,BHEL,54.7,56.2,54,55.3,54.7,0.6,1.1
42,BANKBARODA,78.55,80.3,78.25,79.25,78.4,0.85,1.08
43,BIOCON,361.7,365.7,357.5,362.5,358.65,3.85,1.07
44,TATASTEEL,1428,1452.95,1416.45,1440.15,1425.1,15.05,1.06
45,DLF,340.85,346.6,338.4,342.5,338.9,3.6,1.06
46,PAGEIND,32032,32949.85,32032,32386.6,32049.55,337.05,1.05
47,HAL,1430,1430,1385.5,1394,1379.85,14.15,1.03
48,PFIZER,5990,6088,5958.9,6019,5958.9,60.1,1.01
49,INDIGO,1944.7,1986.5,1927.1,1963,1944.05,18.95,0.97
50,ASIANPAINT,3301.6,3344.95,3286.5,3333.15,3301.6,31.55,0.96
51,KOTAKBANK,1793,1811.45,1777.55,1792.8,1776.4,16.4,0.92
52,TORNTPHARM,3151.6,3226.9,3140,3171.95,3143.15,28.8,0.92
53,HINDALCO,457.25,464.5,450,461,456.95,4.05,0.89
54,RECLTD,153.25,155.8,152.75,154.3,152.95,1.35,0.88
55,ESCORTS,1315,1331,1294.9,1322.3,1311.35,10.95,0.84
56,DEEPAKNTR,2321.85,2405,2307.9,2341.15,2321.85,19.3,0.83
57,DRREDDY,4876.2,4909.25,4862.3,4899.95,4859.7,40.25,0.83
58,GRASIM,1510,1519.95,1492.5,1511.65,1499.25,12.4,0.83
59,NMDC,152.8,156.75,152.8,154.55,153.3,1.25,0.82
60,POLYCAB,2220,2249,2201,2230,2212.1,17.9,0.81
61,BALKRISIND,2399.8,2415.95,2373.15,2408,2389.05,18.95,0.79
62,VEDL,305.4,311,303.15,308.2,305.8,2.4,0.78
63,JSWSTEEL,686.1,695.25,682.4,690.3,685.05,5.25,0.77
64,SUNTV,489.8,507.8,488.2,491,487.35,3.65,0.75
65,CANBK,159.35,163.45,159.1,160.3,159.1,1.2,0.75
66,IDEA,7.3,8.1,6.9,7.2,7.15,0.05,0.7
67,INFY,1696.05,1705.95,1684.4,1700.5,1689.1,11.4,0.67
68,MINDTREE,3759,3810,3672,3766.8,3742.4,24.4,0.65
69,RAMCOCEM,1043.7,1049,1026,1044.9,1038.3,6.6,0.64
70,BRITANNIA,4105,4134.7,4073.15,4112,4086.1,25.9,0.63
71,TATAMOTORS,292.5,296.45,292,295,293.15,1.85,0.63
72,MCDOWELL-N,749.95,777,749.15,752.4,748.05,4.35,0.58
73,BANDHANBNK,284,288.5,282.5,285.25,283.6,1.65,0.58
74,DIVISLAB,5183,5264.55,5136.35,5195.6,5165.55,30.05,0.58
75,LT,1697,1704.3,1672.1,1695,1686.2,8.8,0.52
76,WIPRO,653,656.7,649.5,654.5,651.45,3.05,0.47
77,SRTRANSFIN,1349,1388.6,1333.1,1348,1343.05,4.95,0.37
78,APOLLOTYRE,222.5,224.5,219.8,222.4,221.65,0.75,0.34
79,ITC,209.75,211.25,209.75,210.45,209.75,0.7,0.33
80,TECHM,1444,1449.7,1425.1,1442.5,1437.8,4.7,0.33
81,NTPC,117,117.9,116.5,116.85,116.5,0.35,0.3
82,BAJFINANCE,7500,7555,7461.75,7520.55,7498.45,22.1,0.29
83,PEL,2625,2712,2595,2615.95,2608.8,7.15,0.27
84,OFSS,4744.95,4807,4684.1,4730,4717.6,12.4,0.26
85,RBLBANK,172.5,174.25,171.05,172.3,171.85,0.45,0.26
86,SHREECEM,30290.1,30590.8,29962.1,30400,30323.25,76.75,0.25
87,UBL,1563.75,1597.7,1561.05,1567,1563.25,3.75,0.24
88,SBIN,431.25,434.3,428.2,430.65,429.75,0.9,0.21
89,PVR,1335.45,1349,1327,1337.9,1335.45,2.45,0.18
90,LUPIN,972.9,972.9,964,969.5,967.8,1.7,0.18
91,BAJAJFINSV,16776.8,16859.85,16560,16733,16703.25,29.75,0.18
92,VOLTAS,1086,1097,1081.95,1087.2,1085.35,1.85,0.17
